order_date,count
10/4/1996,1
10/8/1996,1
5/27/1997,1
4/16/1997,1
8/9/1996,1
1/2/1997,1
8/18/1997,1
7/5/1996,1
8/6/1996,1
7/16/1996,1
11/14/1996,1
6/2/1997,1
5/26/1997,1
4/17/1997,1
8/19/1996,1
8/8/1996,1
9/10/1996,1
7/14/1997,1
7/4/1996,1
7/17/1996,1
12/24/1996,1
5/16/1997,1
7/24/1997,1
12/19/1996,1
11/10/1997,1
5/7/1997,1
10/20/1997,1
10/18/1996,1
9/2/1996,1
12/2/1996,1
12/26/1996,1
12/12/1997,1
7/29/1996,1
10/10/1996,1
2/11/1997,1
9/16/1997,1
9/4/1996,1
9/23/1996,1
8/21/1997,1
1/8/1997,1
10/31/1997,1
7/21/1997,1
9/25/1996,1
5/6/1997,1
1/22/1997,1
9/11/1996,1
3/3/1997,1
10/7/1997,1
6/9/1997,1
9/12/1996,1
2/13/1997,1
7/11/1996,1
4/7/1997,1
11/15/1996,1
4/25/1997,1
9/5/1996,1
3/14/1997,1
12/4/1997,1
4/8/1997,1
9/27/1996,1
3/12/1997,1
8/29/1996,1
6/24/1997,1
3/28/1997,1
7/28/1997,1
11/29/1996,1
9/11/1997,1
4/21/1997,1
7/9/1996,1
7/3/1997,1
11/5/1997,1
7/1/1997,1
7/23/1996,1
3/10/1997,1
8/22/1996,1
12/20/1996,1
8/26/1997,1
2/4/1997,1
4/23/1997,1
1/24/1997,1
12/4/1996,1
12/13/1996,1
11/4/1996,1
8/13/1997,1
1/17/1997,1
2/27/1997,1
11/13/1996,1
11/21/1996,1
7/26/1996,1
6/13/1997,1
11/19/1996,1
2/18/1997,1
6/4/1997,1
6/27/1997,1
8/15/1996,1
10/9/1996,1
7/30/1997,1
7/24/1996,1
5/13/1997,1
8/30/1996,1
12/10/1996,1
10/30/1996,1
11/18/1996,1
3/5/1997,1
9/17/1996,1
12/11/1996,1
1/28/1997,1
1/6/1997,1
9/6/1996,1
9/26/1996,1
2/24/1997,1
1/20/1997,1
6/16/1997,1
11/13/1997,1
1/15/1997,1
8/8/1997,1
9/16/1996,1
5/22/1997,1
9/19/1997,1
2/7/1997,1
4/3/1997,1
8/23/1996,1
10/21/1996,1
9/18/1996,1
7/31/1996,1
9/3/1997,1
7/10/1997,1
8/26/1996,1
10/25/1996,1
6/11/1997,1
7/23/1997,1
7/12/1996,1
2/20/1997,1
11/25/1996,1
11/12/1996,1
7/8/1997,1
7/25/1996,1
5/20/1997,1
8/28/1996,1
7/15/1997,1
10/24/1996,1
8/1/1997,1
4/1/1997,1
6/18/1997,1
3/19/1997,1
3/18/1997,1
6/20/1997,1
5/15/1997,1
4/10/1997,1
7/4/1997,1
12/30/1996,1
11/27/1996,1
4/30/1997,1
9/24/1996,1
5/2/1997,1
